USER_ID	INTEREST_ID
1	26
1	49
2	62
3	35
3	32
4	95
4	81
5	63
6	10
6	54
6	6
7	4
8	64
8	13
9	77
10	3
10	8
10	37
11	22
11	75
12	72
13	51
14	3
14	61
14	21
15	44
15	93
15	52
16	57
16	90
17	82
17	2
17	61
18	85
19	80
20	63
20	15
20	96
21	98
22	77
23	86
23	6
24	90
24	76
24	69
25	65
25	16
26	28
26	80
26	72
27	73
28	82
29	100
29	38
29	18
30	37
30	78
30	80
31	10
32	64
32	47
32	16
33	18
34	79
34	85
34	7
35	17
36	52
37	32
38	80
38	12
39	99
40	78
40	81
41	88
42	8
42	101
42	83
43	31
43	60
44	41
44	35
45	35
45	91
45	76
46	97
47	46
47	33
47	101
48	33
48	4
48	54
49	13
49	77
49	58
50	28
50	72
51	102
52	14
53	24
53	73
54	73
55	30
55	34
56	75
57	67
58	15
58	20
59	70
59	1
60	77
60	101
61	88
62	95
63	93
64	37
64	39
64	18
65	74
65	66
65	82
66	37
66	14
67	69
67	93
68	67
69	60
69	97
70	46
71	89
71	7
72	51
72	80
72	43
73	78
73	22
74	76
74	24
74	65
75	63
75	31
75	58
76	98
76	50
77	77
77	31
78	35
78	9
79	97
80	33
80	40
81	38
82	91
82	62
83	55
84	77
84	53
85	72
86	39
86	73
87	50
87	9
87	54
88	90
88	55
89	48
89	71
89	103
90	84
90	25
91	66
92	80
92	49
93	31
94	84
94	6
95	101
95	83
95	41
96	84
97	10
97	2
97	69
98	34
98	93
99	52
100	27
